Age,Gender,City_Type,Annual_Income,Education_Level,Occupation,Steps_Per_Day,Workout_Days_Per_Week,Preferred_Workout_Type,Workout_Duration_Min,Calories_Burned_Per_Day,Uses_Fitness_App,Features_Used,App_Usage_Frequency,Subscribed_Premium,Motivators_For_Upgrade,Willingness_To_Pay,Fitness_Importance_1_10,Biggest_Challenge,Fitness_Motivated_By,Preferred_Device,NPS_Recommend_1_10,Content_Engaged,Interested_In_Group_Challenges,Fitness_Goal
33,Male,Metro,48856,Postgraduate,Homemaker,6666,6,Yoga,16,790,Yes,"Step Tracker, Diet Tracking, Progress Tracking, Challenges",Daily,No,"Personalized Plans, 1:1 Coach",233,6,Cost,Influencers,Fitness Band,6,Articles,Yes,General Wellness
28,Male,Metro,73544,Graduate,Professional,7359,3,Cardio,33,628,Yes,"Step Tracker, Social Community, Progress Tracking",Daily,Yes,"Ad-free Experience, Social Competitions, Personalized Plans",959,10,Other,Self,Smartphone,7,Community Posts,Yes,Weight Loss
35,Female,Metro,120576,Graduate,Student,7904,4,Strength Training,41,692,Yes,"Social Community, Challenges",Rarely,No,"Ad-free Experience, Advanced Analytics",148,8,Guidance,Family,Smartwatch,7,Video Workouts,Yes,General Wellness
42,Female,Metro,51743,Graduate,Professional,7799,5,Strength Training,39,487,Yes,Social Community,Daily,Yes,"1:1 Coach, Social Competitions",741,5,Motivation,Friends,Smartwatch,7,Video Workouts,No,Weight Loss
28,Male,Semi-Urban,25892,Doctorate,Professional,6455,4,Strength Training,25,610,Yes,Social Community,Daily,No,"Ad-free Experience, Advanced Analytics, Custom Diet Plans",600,5,Motivation,Influencers,Smartphone,9,Community Posts,No,Weight Loss
28,Female,Urban,90206,Postgraduate,Professional,7960,2,Strength Training,55,792,Yes,"Challenges, Step Tracker, Progress Tracking, Social Community",Daily,No,"Ad-free Experience, Social Competitions, Custom Diet Plans",365,8,Motivation,Self,Smartphone,7,Video Workouts,Yes,General Wellness
42,Male,Urban,48161,High School,Student,6287,3,Cardio,80,732,Yes,"Progress Tracking, Workout Plans, Step Tracker",Weekly,No,Social Competitions,201,10,Health Issues,Self,Fitness Band,5,Video Workouts,No,Athletic Training
36,Female,Metro,36503,Postgraduate,Professional,8605,5,Cardio,6,470,Yes,"Social Community, Challenges, Step Tracker",Daily,No,Personalized Plans,275,7,Lack of Time,Self,Manual Entry,8,Live Classes,Yes,Weight Loss
26,Female,Rural,48427,Graduate,Professional,5431,2,Cardio,16,400,Yes,Progress Tracking,Monthly,Yes,"Custom Diet Plans, Social Competitions, Ad-free Experience",731,7,Other,Friends,Smartphone,6,Challenges,Yes,Muscle Gain
34,Female,Metro,60339,High School,Professional,7182,2,Strength Training,35,734,No,None,Never,No,None,509,2,Other,None,Smartphone,5,None,No,Muscle Gain
26,Female,Metro,48904,Graduate,Professional,2940,1,None,56,440,Yes,"Progress Tracking, Social Community, Workout Plans, Step Tracker",Daily,No,"Custom Diet Plans, Personalized Plans",309,9,Guidance,Self,Smartphone,8,Live Classes,Yes,Athletic Training
26,Female,Urban,21965,Graduate,Homemaker,6075,6,Cardio,46,818,Yes,"Challenges, Diet Tracking",Rarely,No,"Social Competitions, Ad-free Experience, Personalized Plans",449,7,Motivation,Family,Smartphone,9,Challenges,No,Weight Loss
31,Male,Metro,103624,Postgraduate,Professional,8418,1,None,94,677,Yes,"Workout Plans, Progress Tracking",Daily,Yes,"Social Competitions, Custom Diet Plans",484,6,Lack of Time,Family,Smartphone,7,Live Classes,Yes,Muscle Gain
15,Female,Metro,125171,Graduate,Student,4415,4,Sports,72,628,No,None,Never,No,None,176,3,Motivation,Friends,Smartphone,3,None,No,Weight Loss
